Type,Server,Category,Name,Description,Status,Path
Tool,coderef-context,Code Intelligence,coderef_scan,Scan project and discover code elements,active,C:\Users\willh\.mcp-servers\coderef-context\src\coderef_context\server.py
Tool,coderef-context,Code Intelligence,coderef_query,Query code relationships,active,C:\Users\willh\.mcp-servers\coderef-context\src\coderef_context\server.py
Tool,coderef-context,Code Intelligence,coderef_impact,Analyze modification impact,active,C:\Users\willh\.mcp-servers\coderef-context\src\coderef_context\server.py
Tool,coderef-context,Code Intelligence,coderef_complexity,Get complexity metrics,active,C:\Users\willh\.mcp-servers\coderef-context\src\coderef_context\server.py
Tool,coderef-context,Code Intelligence,coderef_patterns,Discover code patterns,active,C:\Users\willh\.mcp-servers\coderef-context\src\coderef_context\server.py
Tool,coderef-context,Code Intelligence,coderef_coverage,Analyze test coverage,active,C:\Users\willh\.mcp-servers\coderef-context\src\coderef_context\server.py
Tool,coderef-context,Code Intelligence,coderef_context,Generate codebase context,active,C:\Users\willh\.mcp-servers\coderef-context\src\coderef_context\server.py
Tool,coderef-context,Code Intelligence,coderef_validate,Validate CodeRef2 references,active,C:\Users\willh\.mcp-servers\coderef-context\src\coderef_context\server.py
Tool,coderef-context,Code Intelligence,coderef_drift,Detect index drift,active,C:\Users\willh\.mcp-servers\coderef-context\src\coderef_context\server.py
Tool,coderef-context,Code Intelligence,coderef_diagram,Generate dependency diagrams,active,C:\Users\willh\.mcp-servers\coderef-context\src\coderef_context\server.py
Tool,coderef-context,Code Intelligence,coderef_tag,Add CodeRef2 tags to source files,active,C:\Users\willh\.mcp-servers\coderef-context\src\coderef_context\server.py
Tool,coderef-context,Code Intelligence,coderef_export,Export coderef data,active,C:\Users\willh\.mcp-servers\coderef-context\src\coderef_context\server.py
Tool,coderef-workflow,Documentation Templates,list_templates,List all documentation templates,active,C:\Users\willh\.mcp-servers\coderef-workflow\src\coderef_workflow\server.py
Tool,coderef-workflow,Documentation Templates,get_template,Retrieve specific template,active,C:\Users\willh\.mcp-servers\coderef-workflow\src\coderef_workflow\server.py
Tool,coderef-workflow,Documentation Templates,generate_foundation_docs,Generate foundation documentation,active,C:\Users\willh\.mcp-servers\coderef-workflow\src\coderef_workflow\server.py
Tool,coderef-workflow,Documentation Templates,generate_individual_doc,Generate single doc file,active,C:\Users\willh\.mcp-servers\coderef-workflow\src\coderef_workflow\server.py
Tool,coderef-workflow,Changelog Management,get_changelog,Get project changelog,active,C:\Users\willh\.mcp-servers\coderef-workflow\src\coderef_workflow\server.py
Tool,coderef-workflow,Changelog Management,add_changelog_entry,Add changelog entry,active,C:\Users\willh\.mcp-servers\coderef-workflow\src\coderef_workflow\server.py
Tool,coderef-workflow,Changelog Management,update_changelog,Agentic changelog update,active,C:\Users\willh\.mcp-servers\coderef-workflow\src\coderef_workflow\server.py
Tool,coderef-workflow,Standards & Quality,generate_quickref_interactive,Generate universal quickref,active,C:\Users\willh\.mcp-servers\coderef-workflow\src\coderef_workflow\server.py
Tool,coderef-workflow,Standards & Quality,establish_standards,Scan and generate standards,active,C:\Users\willh\.mcp-servers\coderef-workflow\src\coderef_workflow\server.py
Tool,coderef-workflow,Standards & Quality,audit_codebase,Audit for standards violations,active,C:\Users\willh\.mcp-servers\coderef-workflow\src\coderef_workflow\server.py
Tool,coderef-workflow,Standards & Quality,check_consistency,Pre-commit consistency check,active,C:\Users\willh\.mcp-servers\coderef-workflow\src\coderef_workflow\server.py
Tool,coderef-workflow,Planning,get_planning_template,Get planning template,active,C:\Users\willh\.mcp-servers\coderef-workflow\src\coderef_workflow\server.py
Tool,coderef-workflow,Planning,analyze_project_for_planning,Automate prep phase,active,C:\Users\willh\.mcp-servers\coderef-workflow\src\coderef_workflow\server.py
Tool,coderef-workflow,Planning,gather_context,Gather feature requirements,active,C:\Users\willh\.mcp-servers\coderef-workflow\src\coderef_workflow\server.py
Tool,coderef-workflow,Planning,validate_implementation_plan,Validate plan quality,active,C:\Users\willh\.mcp-servers\coderef-workflow\src\coderef_workflow\server.py
Tool,coderef-workflow,Planning,generate_plan_review_report,Generate review report,active,C:\Users\willh\.mcp-servers\coderef-workflow\src\coderef_workflow\server.py
Tool,coderef-workflow,Planning,create_plan,Create implementation plan,active,C:\Users\willh\.mcp-servers\coderef-workflow\src\coderef_workflow\server.py
Tool,coderef-workflow,Execution & Tracking,finalize_plan_from_agent,Finalize plan from Task agent,active,C:\Users\willh\.mcp-servers\coderef-workflow\src\coderef_workflow\server.py
Tool,coderef-workflow,Execution & Tracking,generate_deliverables_template,Generate deliverables template,active,C:\Users\willh\.mcp-servers\coderef-workflow\src\coderef_workflow\server.py
Tool,coderef-workflow,Execution & Tracking,update_deliverables,Update with git metrics,active,C:\Users\willh\.mcp-servers\coderef-workflow\src\coderef_workflow\server.py
Tool,coderef-workflow,Execution & Tracking,execute_plan,Generate TodoWrite task list,active,C:\Users\willh\.mcp-servers\coderef-workflow\src\coderef_workflow\server.py
Tool,coderef-workflow,Execution & Tracking,update_task_status,Update task progress,active,C:\Users\willh\.mcp-servers\coderef-workflow\src\coderef_workflow\server.py
Tool,coderef-workflow,Multi-Agent Coordination,generate_agent_communication,Generate communication.json,active,C:\Users\willh\.mcp-servers\coderef-workflow\src\coderef_workflow\server.py
Tool,coderef-workflow,Multi-Agent Coordination,assign_agent_task,Assign task to agent,active,C:\Users\willh\.mcp-servers\coderef-workflow\src\coderef_workflow\server.py
Tool,coderef-workflow,Multi-Agent Coordination,verify_agent_completion,Verify completion,active,C:\Users\willh\.mcp-servers\coderef-workflow\src\coderef_workflow\server.py
Tool,coderef-workflow,Multi-Agent Coordination,aggregate_agent_deliverables,Aggregate metrics,active,C:\Users\willh\.mcp-servers\coderef-workflow\src\coderef_workflow\server.py
Tool,coderef-workflow,Multi-Agent Coordination,track_agent_status,Track agent status,active,C:\Users\willh\.mcp-servers\coderef-workflow\src\coderef_workflow\server.py
