Type,Server,Category,Name,Description,Status,Path,Created,LastUpdated
Command,coderef-dashboard,Utility,/widget-architect,Widget architecture tool,active,C:\Users\willh\Desktop\coderef-dashboard\.claude\commands\widget-architect.md,,
Command,coderef-docs,Documentation,/audit-codebase,Audit codebase for violations,active,C:\Users\willh\.mcp-servers\coderef-docs\.claude\commands\audit-codebase.md,,
Command,coderef-docs,Documentation,/check-consistency,Check consistency against standards,active,C:\Users\willh\.mcp-servers\coderef-docs\.claude\commands\check-consistency.md,,
Command,coderef-docs,Documentation,/create-resource-sheet,Create resource sheet,active,C:\Users\willh\.mcp-servers\coderef-docs\.claude\commands\create-resource-sheet.md,,
Command,coderef-docs,Documentation,/establish-standards,Establish project standards,active,C:\Users\willh\.mcp-servers\coderef-docs\.claude\commands\establish-standards.md,,
Command,coderef-docs,Documentation,/generate-docs,Generate documentation,active,C:\Users\willh\.mcp-servers\coderef-docs\.claude\commands\generate-docs.md,,
Command,coderef-docs,Documentation,/generate-user-docs,Generate user documentation,active,C:\Users\willh\.mcp-servers\coderef-docs\.claude\commands\generate-user-docs.md,,
Command,coderef-docs,Documentation,/get-template,Get documentation template,active,C:\Users\willh\.mcp-servers\coderef-docs\.claude\commands\get-template.md,,
Command,coderef-docs,Documentation,/list-templates,List all templates,active,C:\Users\willh\.mcp-servers\coderef-docs\.claude\commands\list-templates.md,,
Command,coderef-docs,Documentation,/record-changes,Record changelog changes,active,C:\Users\willh\.mcp-servers\coderef-docs\.claude\commands\record-changes.md,,
Command,coderef-docs,Documentation,/resource-sheet-catalog,Show resource sheet catalog,active,C:\Users\willh\.mcp-servers\coderef-docs\.claude\commands\resource-sheet-catalog.md,,
Command,coderef-docs,Documentation,/update-docs,Update documentation,active,C:\Users\willh\.mcp-servers\coderef-docs\.claude\commands\update-docs.md,,
Command,coderef-docs,Documentation,/update-foundation-docs,Update foundation docs,active,C:\Users\willh\.mcp-servers\coderef-docs\.claude\commands\update-foundation-docs.md,,
Command,coderef-personas,Management,/create-persona,Create custom persona,active,C:\Users\willh\.mcp-servers\coderef-personas\.claude\commands\create-persona.md,,
Command,coderef-personas,Management,/debug-ui,Debug UI issues,active,C:\Users\willh\.mcp-servers\coderef-personas\.claude\commands\debug-ui.md,,
Command,coderef-personas,Management,/fix,Quick fixes,active,C:\Users\willh\.mcp-servers\coderef-personas\.claude\commands\fix.md,,
Command,coderef-personas,Management,/use-persona,Use specific persona,active,C:\Users\willh\.mcp-servers\coderef-personas\.claude\commands\use-persona.md,,
Command,coderef-personas,Personas,/ava,Activate Ava (frontend specialist),active,C:\Users\willh\.mcp-servers\coderef-personas\.claude\commands\ava.md,,
Command,coderef-personas,Personas,/coderef-assistant,Activate CodeRef Assistant (orchestrator),active,C:\Users\willh\.mcp-servers\coderef-personas\.claude\commands\coderef-assistant.md,,
Command,coderef-personas,Personas,/coderef-context-agent,Activate context specialist,active,C:\Users\willh\.mcp-servers\coderef-personas\.claude\commands\coderef-context-agent.md,,
