Type,Server,Category,Name,Description,Status,Path
Command,assistant,Personas,/coderef-docs-agent,Alias for coderef-personas - Activate docs specialist,alias,C:\Users\willh\.claude\commands\coderef-docs-agent.md
Command,assistant,Workflow,/coderef-foundation-docs,Alias for coderef-workflow - Generate foundation docs,alias,C:\Users\willh\.claude\commands\coderef-foundation-docs.md
Command,assistant,Workflow,/generate-agent-communication,Alias for coderef-workflow - Generate agent communication file,alias,C:\Users\willh\.claude\commands\generate-agent-communication.md
Command,assistant,Workflow,/generate-deliverables,Alias for coderef-workflow - Generate deliverables template,alias,C:\Users\willh\.claude\commands\generate-deliverables.md
Command,assistant,Documentation,/generate-docs,Alias for coderef-docs - Generate documentation,alias,C:\Users\willh\.claude\commands\generate-docs.md
Command,assistant,Workflow,/generate-handoff-context,Alias for coderef-workflow - Generate handoff context,alias,C:\Users\willh\.claude\commands\generate-handoff-context.md
Command,assistant,Documentation,/generate-user-docs,Alias for coderef-docs - Generate user documentation,alias,C:\Users\willh\.claude\commands\generate-user-docs.md
Command,assistant,Documentation,/update-docs,Alias for coderef-docs - Update documentation,alias,C:\Users\willh\.claude\commands\update-docs.md
Command,assistant,Documentation,/update-foundation-docs,Alias for coderef-docs - Update foundation docs,alias,C:\Users\willh\.claude\commands\update-foundation-docs.md
Command,assistant,Workflow,/aggregate-agent-deliverables,Alias for coderef-workflow - Aggregate agent deliverables,alias,C:\Users\willh\.claude\commands\aggregate-agent-deliverables.md
Command,assistant,Workflow,/archive-feature,Alias for coderef-workflow - Archive completed feature,alias,C:\Users\willh\.claude\commands\archive-feature.md
Command,assistant,Workflow,/assign-agent-task,Alias for coderef-workflow - Assign task to agent,alias,C:\Users\willh\.claude\commands\assign-agent-task.md
Command,assistant,Documentation,/audit-codebase,Alias for coderef-docs - Audit codebase for violations,alias,C:\Users\willh\.claude\commands\audit-codebase.md
Command,assistant,Personas,/ava,"Activate Ava, the Frontend Specialist persona",alias,C:\Users\willh\.claude\commands\ava.md
Command,assistant,Documentation,/check-consistency,Alias for coderef-docs - Check consistency against standards,alias,C:\Users\willh\.claude\commands\check-consistency.md
Command,assistant,Personas,/coderef-assistant,"Activate CodeRef Assistant, the Orchestrator persona",alias,C:\Users\willh\.claude\commands\coderef-assistant.md
Command,assistant,Personas,/coderef-context-agent,Alias for coderef-personas - Activate context specialist,alias,C:\Users\willh\.claude\commands\coderef-context-agent.md
Command,assistant,Personas,/coderef-mcp-lead,Alias for coderef-personas - Activate MCP lead,alias,C:\Users\willh\.claude\commands\coderef-mcp-lead.md
Command,assistant,Personas,/coderef-testing-agent,Alias for coderef-personas - Activate testing specialist,alias,C:\Users\willh\.claude\commands\coderef-testing-agent.md
Command,assistant,Testing,/compare-runs,Alias for coderef-testing - Compare test runs,alias,C:\Users\willh\.claude\commands\compare-runs.md
Command,assistant,Documentation,/create-resource-sheet,Alias for coderef-docs - Create resource sheet,alias,C:\Users\willh\.claude\commands\create-resource-sheet.md
Command,assistant,Management,/debug-ui,Debug UI issues using Chrome DevTools MCP with Ava's frontend expertise,alias,C:\Users\willh\.claude\commands\debug-ui.md
Command,assistant,Testing,/detect-flaky,Alias for coderef-testing - Detect flaky tests,alias,C:\Users\willh\.claude\commands\detect-flaky.md
Command,assistant,Testing,/discover-tests,Alias for coderef-testing - Discover tests,alias,C:\Users\willh\.claude\commands\discover-tests.md
Command,assistant,Documentation,/establish-standards,Alias for coderef-docs - Establish project standards,alias,C:\Users\willh\.claude\commands\establish-standards.md
Command,assistant,Workflow,/features-inventory,Alias for coderef-workflow - Generate features inventory,alias,C:\Users\willh\.claude\commands\features-inventory.md
Command,assistant,Management,/fix,Alias for coderef-personas - Quick fixes,alias,C:\Users\willh\.claude\commands\fix.md
Command,assistant,Workflow,/gather-context,Alias for coderef-workflow - Gather feature context,alias,C:\Users\willh\.claude\commands\gather-context.md
Command,assistant,Documentation,/get-template,Alias for coderef-docs - Get documentation template,alias,C:\Users\willh\.claude\commands\get-template.md
